Recency (months), Frequency (times), Monetary (l blood), Time (months), whether he/she donated blood in March 2007
6, 2, 0.5, 11, 1
4, 7, 1.75, 58, 0
11, 9, 2.25, 38, 0
11, 6, 1.5, 26, 0
2, 2, 0.5, 16, 0
2, 7, 1.75, 76, 0
11, 6, 1.5, 27, 0
11, 3, 0.75, 14, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 1
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 1
4, 1, 0.25, 4, 1
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 1
4, 1, 0.25, 4, 1
4, 1, 0.25, 4, 0
4, 3, 0.75, 24, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 1
4, 1, 0.25, 4, 0
10, 8, 2, 39, 0
14, 7, 1.75, 26, 0
8, 10, 2.5, 63, 0
11, 3, 0.75, 15, 0
4, 2, 0.5, 14, 0
2, 4, 1, 43, 0
8, 9, 2.25, 58, 0
8, 8, 2, 52, 1
11, 22, 5.5, 98, 0
4, 3, 0.75, 25, 1
11, 17, 4.25, 79, 1
9, 2, 0.5, 11, 0
4, 5, 1.25, 46, 0
11, 12, 3, 58, 0
7, 12, 3, 86, 0
11, 2, 0.5, 11, 0
11, 2, 0.5, 11, 0
11, 2, 0.5, 11, 0
2, 6, 1.5, 75, 0
11, 8, 2, 41, 1
11, 3, 0.75, 16, 1
12, 13, 3.25, 59, 0
2, 3, 0.75, 35, 0
16, 8, 2, 28, 0
11, 7, 1.75, 37, 0
4, 3, 0.75, 28, 0
12, 12, 3, 58, 0
4, 4, 1, 41, 0
11, 14, 3.5, 73, 1
2, 2, 0.5, 23, 0
2, 3, 0.75, 38, 1
4, 5, 1.25, 58, 0
4, 4, 1, 43, 1
3, 2, 0.5, 23, 0
11, 8, 2, 46, 0
4, 7, 1.75, 82, 0
13, 4, 1, 21, 0
16, 11, 2.75, 40, 0
16, 7, 1.75, 28, 0
7, 2, 0.5, 16, 0
4, 5, 1.25, 58, 0
4, 5, 1.25, 58, 0
4, 4, 1, 46, 0
14, 13, 3.25, 57, 0
4, 3, 0.75, 34, 0
14, 18, 4.5, 78, 0
11, 8, 2, 48, 0
14, 16, 4, 70, 0
14, 4, 1, 22, 1
14, 5, 1.25, 26, 0
8, 2, 0.5, 16, 0
11, 5, 1.25, 33, 0
11, 2, 0.5, 14, 0
4, 2, 0.5, 23, 0
9, 2, 0.5, 16, 1
14, 5, 1.25, 28, 1
14, 3, 0.75, 19, 1
14, 4, 1, 23, 1
16, 12, 3, 50, 0
11, 4, 1, 28, 0
11, 5, 1.25, 35, 0
11, 5, 1.25, 35, 0
2, 4, 1, 70, 0
14, 5, 1.25, 28, 0
14, 2, 0.5, 14, 0
14, 2, 0.5, 14, 0
14, 2, 0.5, 14, 0
14, 2, 0.5, 14, 0
14, 2, 0.5, 14, 0
14, 2, 0.5, 14, 0
2, 3, 0.75, 52, 0
14, 6, 1.5, 34, 0
11, 5, 1.25, 37, 1
4, 5, 1.25, 74, 0
11, 3, 0.75, 23, 0
16, 4, 1, 23, 0
16, 3, 0.75, 19, 0
11, 5, 1.25, 38, 0
11, 2, 0.5, 16, 0
12, 9, 2.25, 60, 0
9, 1, 0.25, 9, 0
9, 1, 0.25, 9, 0
4, 2, 0.5, 29, 0
11, 2, 0.5, 17, 0
14, 4, 1, 26, 0
11, 9, 2.25, 72, 1
11, 5, 1.25, 41, 0
15, 16, 4, 82, 0
9, 5, 1.25, 51, 1
11, 4, 1, 34, 0
14, 8, 2, 50, 1
16, 7, 1.75, 38, 0
14, 2, 0.5, 16, 0
2, 2, 0.5, 41, 0
14, 16, 4, 98, 0
14, 4, 1, 28, 1
16, 7, 1.75, 39, 0
14, 7, 1.75, 47, 0
16, 6, 1.5, 35, 0
16, 6, 1.5, 35, 1
11, 7, 1.75, 62, 1
16, 2, 0.5, 16, 0
16, 3, 0.75, 21, 1
11, 3, 0.75, 28, 0
11, 7, 1.75, 64, 0
11, 1, 0.25, 11, 1
9, 3, 0.75, 34, 0
14, 4, 1, 30, 0
23, 38, 9.5, 98, 0
11, 6, 1.5, 58, 0
11, 1, 0.25, 11, 0
11, 1, 0.25, 11, 0
11, 1, 0.25, 11, 0
11, 1, 0.25, 11, 0
11, 1, 0.25, 11, 0
11, 1, 0.25, 11, 0
11, 1, 0.25, 11, 0
11, 1, 0.25, 11, 0
11, 2, 0.5, 21, 0
11, 5, 1.25, 50, 0
11, 2, 0.5, 21, 0
16, 4, 1, 28, 0
4, 2, 0.5, 41, 0
16, 6, 1.5, 40, 0
14, 3, 0.75, 26, 0
9, 2, 0.5, 26, 0
21, 16, 4, 64, 0
14, 6, 1.5, 51, 0
11, 2, 0.5, 24, 0
4, 3, 0.75, 71, 0
21, 13, 3.25, 57, 0
11, 6, 1.5, 71, 0
14, 2, 0.5, 21, 1
23, 15, 3.75, 57, 0
14, 4, 1, 38, 0
11, 2, 0.5, 26, 0
16, 5, 1.25, 40, 1
4, 2, 0.5, 51, 1
14, 3, 0.75, 31, 0
4, 2, 0.5, 52, 0
9, 4, 1, 65, 0
14, 4, 1, 40, 0
11, 3, 0.75, 40, 1
14, 5, 1.25, 50, 0
14, 1, 0.25, 14, 0
14, 1, 0.25, 14, 0
14, 1, 0.25, 14, 0
14, 1, 0.25, 14, 0
14, 1, 0.25, 14, 0
14, 1, 0.25, 14, 0
14, 1, 0.25, 14, 0
14, 1, 0.25, 14, 0
14, 7, 1.75, 72, 0
14, 1, 0.25, 14, 0
14, 1, 0.25, 14, 0
9, 3, 0.75, 52, 0
14, 7, 1.75, 73, 0
11, 4, 1, 58, 0
11, 4, 1, 59, 0
4, 2, 0.5, 59, 0
11, 4, 1, 61, 0
16, 4, 1, 40, 0
16, 10, 2.5, 89, 0
21, 2, 0.5, 21, 1
21, 3, 0.75, 26, 0
16, 8, 2, 76, 0
21, 3, 0.75, 26, 1
18, 2, 0.5, 23, 0
23, 5, 1.25, 33, 0
23, 8, 2, 46, 0
16, 3, 0.75, 34, 0
14, 5, 1.25, 64, 0
14, 3, 0.75, 41, 0
16, 1, 0.25, 16, 0
16, 1, 0.25, 16, 0
16, 1, 0.25, 16, 0
16, 1, 0.25, 16, 0
16, 1, 0.25, 16, 0
16, 1, 0.25, 16, 0
16, 1, 0.25, 16, 0
16, 4, 1, 45, 0
16, 1, 0.25, 16, 0
16, 1, 0.25, 16, 0
16, 1, 0.25, 16, 0
16, 1, 0.25, 16, 0
16, 1, 0.25, 16, 0
16, 2, 0.5, 26, 0
21, 2, 0.5, 23, 0
16, 2, 0.5, 27, 0
21, 2, 0.5, 23, 0
21, 2, 0.5, 23, 0
14, 4, 1, 57, 0
16, 5, 1.25, 60, 0
23, 2, 0.5, 23, 0
14, 5, 1.25, 74, 0
23, 3, 0.75, 28, 0
16, 3, 0.75, 40, 0
9, 2, 0.5, 52, 0
9, 2, 0.5, 52, 0
16, 7, 1.75, 87, 1
14, 4, 1, 64, 0
14, 2, 0.5, 35, 0
16, 7, 1.75, 93, 0
21, 2, 0.5, 25, 0
14, 3, 0.75, 52, 0
23, 14, 3.5, 93, 0
18, 8, 2, 95, 0
16, 3, 0.75, 46, 0
11, 3, 0.75, 76, 0
11, 2, 0.5, 52, 0
11, 3, 0.75, 76, 0
23, 12, 3, 86, 0
21, 3, 0.75, 35, 0
23, 2, 0.5, 26, 0
23, 2, 0.5, 26, 0
23, 8, 2, 64, 0
16, 3, 0.75, 50, 0
23, 3, 0.75, 33, 0
21, 3, 0.75, 38, 0
23, 2, 0.5, 28, 0
21, 1, 0.25, 21, 0
21, 1, 0.25, 21, 0
21, 1, 0.25, 21, 0
21, 1, 0.25, 21, 0
21, 1, 0.25, 21, 0
21, 1, 0.25, 21, 0
21, 1, 0.25, 21, 0
21, 1, 0.25, 21, 0
21, 1, 0.25, 21, 0
21, 1, 0.25, 21, 1
21, 1, 0.25, 21, 0
21, 1, 0.25, 21, 0
21, 5, 1.25, 60, 0
23, 4, 1, 45, 0
21, 4, 1, 52, 0
22, 1, 0.25, 22, 1
11, 2, 0.5, 70, 0
23, 5, 1.25, 58, 0
23, 3, 0.75, 40, 0
23, 3, 0.75, 41, 0
14, 3, 0.75, 83, 0
21, 2, 0.5, 35, 0
26, 5, 1.25, 49, 1
23, 6, 1.5, 70, 0
23, 1, 0.25, 23, 0
23, 1, 0.25, 23, 0
23, 1, 0.25, 23, 0
23, 1, 0.25, 23, 0
23, 1, 0.25, 23, 0
23, 1, 0.25, 23, 0
23, 1, 0.25, 23, 0
23, 1, 0.25, 23, 0
23, 4, 1, 53, 0
21, 6, 1.5, 86, 0
23, 3, 0.75, 48, 0
21, 2, 0.5, 41, 0
21, 3, 0.75, 64, 0
16, 2, 0.5, 70, 0
21, 3, 0.75, 70, 0
23, 4, 1, 87, 0
23, 3, 0.75, 89, 0
23, 2, 0.5, 87, 0
35, 3, 0.75, 64, 0
38, 1, 0.25, 38, 0
38, 1, 0.25, 38, 0
40, 1, 0.25, 40, 0
74, 1, 0.25, 74, 0
2, 43, 10.75, 86, 1
6, 22, 5.5, 28, 1
2, 34, 8.5, 77, 1
2, 44, 11, 98, 0
0, 26, 6.5, 76, 1
2, 41, 10.25, 98, 1
3, 21, 5.25, 42, 1
2, 11, 2.75, 23, 0
2, 21, 5.25, 52, 1
2, 13, 3.25, 32, 1
4, 4, 1, 4, 1
2, 11, 2.75, 26, 0
2, 11, 2.75, 28, 0
3, 14, 3.5, 35, 0
4, 16, 4, 38, 1
4, 6, 1.5, 14, 0
3, 5, 1.25, 12, 1
4, 33, 8.25, 98, 1
3, 10, 2.5, 33, 1
4, 10, 2.5, 28, 1
2, 11, 2.75, 40, 1
2, 11, 2.75, 41, 1
4, 13, 3.25, 39, 1
1, 10, 2.5, 43, 1
4, 9, 2.25, 28, 0
2, 4, 1, 11, 0
2, 5, 1.25, 16, 1
2, 15, 3.75, 64, 0
5, 24, 6, 79, 0
2, 6, 1.5, 22, 1
4, 5, 1.25, 16, 1
2, 4, 1, 14, 1
4, 8, 2, 28, 0
2, 4, 1, 14, 0
2, 6, 1.5, 26, 0
4, 5, 1.25, 16, 1
2, 7, 1.75, 32, 1
2, 6, 1.5, 26, 1
2, 8, 2, 38, 1
2, 2, 0.5, 4, 1
2, 6, 1.5, 28, 1
2, 10, 2.5, 52, 0
4, 16, 4, 70, 1
4, 2, 0.5, 4, 1
1, 14, 3.5, 95, 0
4, 2, 0.5, 4, 1
7, 14, 3.5, 48, 0
2, 3, 0.75, 11, 0
2, 12, 3, 70, 1
4, 7, 1.75, 32, 1
4, 4, 1, 16, 0
2, 6, 1.5, 35, 1
4, 6, 1.5, 28, 1
2, 3, 0.75, 14, 0
2, 4, 1, 23, 0
4, 4, 1, 18, 0
5, 6, 1.5, 28, 0
4, 6, 1.5, 30, 0
14, 5, 1.25, 14, 0
3, 8, 2, 50, 0
4, 11, 2.75, 64, 1
4, 9, 2.25, 52, 0
4, 16, 4, 98, 1
7, 10, 2.5, 47, 0
4, 14, 3.5, 86, 0
2, 9, 2.25, 75, 0
4, 6, 1.5, 35, 0
4, 9, 2.25, 55, 0
4, 6, 1.5, 35, 1
2, 6, 1.5, 45, 0
2, 6, 1.5, 47, 0
4, 2, 0.5, 9, 0
2, 2, 0.5, 11, 1
2, 2, 0.5, 11, 0
2, 2, 0.5, 11, 1
4, 6, 1.5, 38, 1
3, 4, 1, 29, 1
9, 9, 2.25, 38, 0
11, 5, 1.25, 18, 0
2, 3, 0.75, 21, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 1
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 1
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
11, 11, 2.75, 38, 0
2, 3, 0.75, 22, 0
9, 11, 2.75, 49, 1
5, 11, 2.75, 75, 0
3, 5, 1.25, 38, 0
3, 1, 0.25, 3, 1
4, 6, 1.5, 43, 0
2, 3, 0.75, 24, 0
12, 11, 2.75, 39, 0
2, 2, 0.5, 14, 0
4, 6, 1.5, 46, 0
9, 3, 0.75, 14, 0
14, 8, 2, 26, 0
4, 2, 0.5, 13, 0
4, 11, 2.75, 95, 0
2, 7, 1.75, 77, 0
2, 7, 1.75, 77, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 1
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 0
4, 1, 0.25, 4, 1
4, 1, 0.25, 4, 0
4, 7, 1.75, 62, 0
4, 1, 0.25, 4, 0
4, 4, 1, 34, 1
11, 6, 1.5, 28, 0
13, 3, 0.75, 14, 1
7, 5, 1.25, 35, 0
9, 9, 2.25, 54, 0
11, 2, 0.5, 11, 0
2, 5, 1.25, 63, 0
7, 11, 2.75, 89, 0
8, 9, 2.25, 64, 0
2, 2, 0.5, 22, 0
6, 3, 0.75, 26, 0
12, 15, 3.75, 71, 0
13, 3, 0.75, 16, 0
11, 16, 4, 89, 0
4, 5, 1.25, 58, 0
14, 7, 1.75, 35, 0
11, 4, 1, 27, 0
7, 9, 2.25, 89, 1
11, 8, 2, 52, 1
7, 5, 1.25, 52, 0
11, 6, 1.5, 41, 0
10, 5, 1.25, 38, 0
14, 2, 0.5, 14, 1
14, 2, 0.5, 14, 0
14, 2, 0.5, 14, 0
2, 2, 0.5, 33, 0
11, 3, 0.75, 23, 0
14, 8, 2, 46, 0
9, 1, 0.25, 9, 0
16, 5, 1.25, 27, 0
14, 4, 1, 26, 0
4, 2, 0.5, 30, 0
14, 3, 0.75, 21, 0
16, 16, 4, 77, 0
4, 2, 0.5, 31, 0
14, 8, 2, 50, 0
11, 3, 0.75, 26, 0
14, 7, 1.75, 45, 0
15, 5, 1.25, 33, 0
16, 2, 0.5, 16, 0
16, 3, 0.75, 21, 0
11, 8, 2, 72, 0
11, 1, 0.25, 11, 0
11, 1, 0.25, 11, 0
11, 1, 0.25, 11, 0
11, 1, 0.25, 11, 1
11, 1, 0.25, 11, 0
2, 3, 0.75, 75, 1
2, 3, 0.75, 77, 0
16, 4, 1, 28, 0
16, 15, 3.75, 87, 0
16, 14, 3.5, 83, 0
16, 10, 2.5, 62, 0
16, 3, 0.75, 23, 0
14, 3, 0.75, 26, 0
23, 19, 4.75, 62, 0
11, 7, 1.75, 75, 0
14, 3, 0.75, 28, 0
20, 14, 3.5, 69, 1
4, 2, 0.5, 46, 0
11, 2, 0.5, 25, 0
11, 3, 0.75, 37, 0
16, 4, 1, 33, 0
21, 7, 1.75, 38, 0
13, 7, 1.75, 76, 0
16, 6, 1.5, 50, 0
14, 3, 0.75, 33, 0
14, 1, 0.25, 14, 0
14, 1, 0.25, 14, 0
14, 1, 0.25, 14, 0
14, 1, 0.25, 14, 0
14, 1, 0.25, 14, 0
14, 1, 0.25, 14, 0
17, 7, 1.75, 58, 1
14, 3, 0.75, 35, 0
14, 3, 0.75, 35, 0
16, 7, 1.75, 64, 0
21, 2, 0.5, 21, 0
16, 3, 0.75, 35, 0
16, 1, 0.25, 16, 0
16, 1, 0.25, 16, 0
16, 1, 0.25, 16, 0
16, 1, 0.25, 16, 0
16, 1, 0.25, 16, 0
14, 2, 0.5, 29, 0
11, 4, 1, 74, 0
11, 2, 0.5, 38, 1
21, 6, 1.5, 48, 0
23, 2, 0.5, 23, 0
23, 6, 1.5, 45, 0
14, 2, 0.5, 35, 1
16, 6, 1.5, 81, 0
16, 4, 1, 58, 0
16, 5, 1.25, 71, 0
21, 2, 0.5, 26, 0
21, 3, 0.75, 35, 0
21, 3, 0.75, 35, 0
23, 8, 2, 69, 0
21, 3, 0.75, 38, 0
23, 3, 0.75, 35, 0
21, 3, 0.75, 40, 0
23, 2, 0.5, 28, 0
21, 1, 0.25, 21, 0
21, 1, 0.25, 21, 0
25, 6, 1.5, 50, 0
21, 1, 0.25, 21, 0
21, 1, 0.25, 21, 0
23, 3, 0.75, 39, 0
21, 2, 0.5, 33, 0
14, 3, 0.75, 79, 0
23, 1, 0.25, 23, 1
23, 1, 0.25, 23, 0
23, 1, 0.25, 23, 0
23, 1, 0.25, 23, 0
23, 1, 0.25, 23, 0
23, 1, 0.25, 23, 0
23, 1, 0.25, 23, 0
23, 4, 1, 52, 0
23, 1, 0.25, 23, 0
23, 7, 1.75, 88, 0
16, 3, 0.75, 86, 0
23, 2, 0.5, 38, 0
21, 2, 0.5, 52, 0
23, 3, 0.75, 62, 0
39, 1, 0.25, 39, 0
72, 1, 0.25, 72, 0
